

('百洛安系带连衣裙女秋季新款韩版气质中长款衬衫裙收腰显瘦a字裙', '296.00', '百洛安旗舰店', '月销 26')
('[SALE]Veronica Beard 2022春季女抹胸绉纱中长连衣裙NAP颇特', '2750.00', 'NET-A-PORTER官方旗舰店', '月销 9')
('儿童短袖连衣裙公主裙子学院风裙女童表演裙中大童假两件裙夏装', '68.00', '童星闪闪童装', '月销 73')
('[SALE]Ulla Johnson 2022春季女配腰带收腰连衣裙NAP颇特', '2090.00', 'NET-A-PORTER官方旗舰店', '月销 2')
('Moonlight梦莱 重工复活款百褶印花拼接挂脖连衣裙', '588.00', 'Moonlight Dreamer 梦莱', '月销 1')
('金丝绒V领连衣裙2022秋装新款女收腰显瘦复古中长款赫本风小黑裙', '188.00', '千织柔女装旗舰店', '月销 1')
('中长款显瘦A字裙绿色中袖提花连衣裙子2022秋冬新款气质名媛女装', '388.00', '左岸伊人 LEFT LADY', '月销 200+')
('一嘉 e＋设计师品牌秋季新款波点印花抽褶系带中长款过膝连衣裙', '460.00', '一嘉服饰旗舰店', '月销 2')
('黑色中长款修身连衣裙2022秋装新款职业OL一步裙法式赫本风小黑裙', '228.00', '千织柔女装旗舰店', '月销 1')
('2022秋冬季新款气质女装黑色显瘦A字裙长袖刺绣拼接金丝绒连衣裙', '388.00', '左岸伊人 LEFT LADY', '月销 57')
('阿吉多碎花连衣裙高端大码气质长裙2022年春秋高级感别致漂亮裙子', '516.00', '阿吉多旗舰店', '月销 0')
('2022秋季新款chao显瘦气质款前排纽扣针织弹力前开叉长裙人手一件', '399.00', 'MFHK轻奢定制', '月销 0')
('CoutureMade秋冬新针织拼接修身假两件连衣裙|32037C051S59', '539.50', 'CoutureMadeforVEROMODA店', '月销 2')
('云澍原创双面提花缎烟粉色甜美法式连衣裙小众设计宽松减龄长裙夏', '798.00', '云澍 兜住了世界', '月销 17')
('秋冬季女装2022新款气质淡粉色修身收腰显瘦粗花呢连衣裙长裙裙子', '558.00', '达菲时尚 有范儿女装', '月销 0')
('Couture Made夏季条纹法式优雅高级感小众设计感西装连衣裙女', '599.50', 'CoutureMadeforVEROMODA店', '月销 4')
('阿朵丽兹金枝玉叶名媛金葱绿进口粗花呢拉毛流苏吸腰包臀连衣裙', '5681.00', '阿朵丽兹', '月销 8')
('【9/3 直播间专属福利 不退不换】】荷叶边纯欲吊带裙连衣裙外套', '9999.00', 'Z子晴', '月销 22')
('2022年秋季新款宽松显瘦气质假两件中长裙圆领长袖拼接连衣裙', '149.00', '古崇旗舰店', '月销 0')
('DECOSTER/德诗夏季新款品牌女简约复古白色中长款宽松连衣裙', '1030.00', 'decoster德诗旗舰店', '月销 7')
('两件套碎花西装分体套装裙梨形身材遮胯裙子秋款赫本风连衣裙2022', '248.00', '伊美之恋 气质洋气 高端女装', '月销 0')
('西装领连衣裙女早春秋2022年新款法式收腰气质设计感小众长袖裙子', '139.00', '卿卿小衣橱', '月销 16')
('三彩格纹香风背心裙女秋冬2022新款连衣裙无袖背带裙优雅A字短裙', '498.00', '三彩服饰品牌店', '月销 0')
('大牌连衣裙秋冬新款时尚简约大码女装2022高端气质针织羊毛裙胖mm', '598.00', '洛玺曼大码女装', '月销 0')
